"","subj","drug","eeg_date","Frequencies (Hz)","intervals_sec","channel","drug dose (mg/kg)","mean PSD (dB)","n","SD","median PSD (dB)"
"209","RAT06","Methyl","2016-10-21",14,100,"EEG_PR","baseline",10.4485873574656,9,2.6767312283033,10.3117993355
"210","RAT06","Methyl","2016-10-21",14,100,"EEG_OL","baseline",6.16707769256511,9,4.71778260580116,5.03249604873
"211","RAT06","Methyl","2016-10-21",14,100,"EEG_OR","baseline",13.6878351213589,9,2.33854813452001,13.9529907219
"212","RAT06","Methyl","2016-10-21",14,200,"EEG_FL","baseline",9.6856651286872,10,3.45270792347905,10.313454909845
"213","RAT06","Methyl","2016-10-21",14,200,"EEG_FR","baseline",20.1874995776571,7,2.79684934299784,19.6497567943
"214","RAT06","Methyl","2016-10-21",14,200,"EEG_PL","baseline",8.792377247876,10,2.82078577742792,9.059055498685
"215","RAT06","Methyl","2016-10-21",14,200,"EEG_PR","baseline",9.761295744563,10,2.12793782696348,10.00269819309
"216","RAT06","Methyl","2016-10-21",14,200,"EEG_OL","baseline",5.345166275099,10,2.28008478217677,4.53734531875
"217","RAT06","Methyl","2016-10-21",14,200,"EEG_OR","baseline",10.476204198783,10,2.5420135028375,10.65217093055
"218","RAT06","Methyl","2016-10-21",14,300,"EEG_FL","baseline",10.5993166327178,9,4.06794897771261,10.2557368972
"219","RAT06","Methyl","2016-10-21",14,300,"EEG_PL","baseline",11.2185995030722,9,3.2766299034365,11.7179358179
"220","RAT06","Methyl","2016-10-21",14,300,"EEG_PR","baseline",10.3614806853133,9,3.00636197402106,9.50425222731
"221","RAT06","Methyl","2016-10-21",14,300,"EEG_OL","baseline",7.83866454466444,9,2.73188418469829,6.92325024209
"222","RAT06","Methyl","2016-10-21",14,300,"EEG_OR","baseline",13.9012197149111,9,2.27426860220345,14.1505029468
"223","RAT06","Methyl","2016-10-21",14,400,"EEG_FL","baseline",7.10664736420571,7,3.79637539530132,8.62671941304
"224","RAT06","Methyl","2016-10-21",14,400,"EEG_PL","baseline",9.55831468768333,9,4.67159154339736,11.1162922139
