"","subj","drug","eeg_date","Frequencies (Hz)","intervals_sec","channel","drug dose (mg/kg)","mean PSD (dB)","n","SD","median PSD (dB)"
"124","RAT06","Morphine","2016-07-12",10,6300,"EEG_PR","0.32",10.9762510802495,30,6.48543278985025,11.6548779333
"125","RAT06","Morphine","2016-07-12",10,6300,"EEG_OL","0.32",13.8371737820113,30,6.35487495722958,13.8886062381
"126","RAT06","Morphine","2016-07-12",10,6300,"EEG_OR","0.32",-16.1216282992637,30,3.4966649278454,-15.67989563125
"127","RAT06","Morphine","2016-07-12",10,6600,"EEG_FL","0.32",9.920749700735,30,2.54638087080884,9.409196562565
"128","RAT06","Morphine","2016-07-12",10,6600,"EEG_FR","0.32",10.8672043937757,30,2.40116012205726,11.03977884595
"129","RAT06","Morphine","2016-07-12",10,6600,"EEG_PL","0.32",9.974293170941,30,2.56354280032461,9.983076913975
"130","RAT06","Morphine","2016-07-12",10,6600,"EEG_PR","0.32",8.20011699851667,30,3.14354065723129,8.14744804006
"131","RAT06","Morphine","2016-07-12",10,6600,"EEG_OL","0.32",10.6400659307657,30,3.12640940608882,10.9018390574
"132","RAT06","Morphine","2016-07-12",10,6600,"EEG_OR","0.32",-14.9643915458837,30,2.94638872678613,-14.62984978095
"133","RAT06","Morphine","2016-07-12",10,6900,"EEG_FL","0.32",10.9104683236736,28,3.04484894383054,10.8946095404
"134","RAT06","Morphine","2016-07-12",10,6900,"EEG_FR","0.32",11.2577961372404,28,2.72061863011272,10.8767056533
"135","RAT06","Morphine","2016-07-12",10,6900,"EEG_PL","0.32",10.9456113614065,28,3.24933621603614,10.6870535639
"136","RAT06","Morphine","2016-07-12",10,6900,"EEG_PR","0.32",7.93580467584165,29,3.31008866501686,8.38178156729
"137","RAT06","Morphine","2016-07-12",10,6900,"EEG_OL","0.32",11.6647655344833,30,2.51185370774063,11.7638393442
"138","RAT06","Morphine","2016-07-12",10,6900,"EEG_OR","0.32",-14.7835501334267,30,2.41413990700157,-14.6546120318
"139","RAT06","Morphine","2016-07-12",10,7200,"EEG_FL","0.32",12.4295809074617,30,3.55805546925726,12.49024665405
"140","RAT06","Morphine","2016-07-12",10,7200,"EEG_FR","0.32",12.9238974625833,30,3.56980349945663,12.88652258055
"141","RAT06","Morphine","2016-07-12",10,7200,"EEG_PL","0.32",12.2546185010163,30,3.71124829727908,12.55814726255
"142","RAT06","Morphine","2016-07-12",10,7200,"EEG_PR","0.32",9.869033924281,30,2.43362788878312,9.86988160397
"143","RAT06","Morphine","2016-07-12",10,7200,"EEG_OL","0.32",11.849729669775,30,2.43678695174499,12.0419038369
"144","RAT06","Morphine","2016-07-12",10,7200,"EEG_OR","0.32",-14.9921313233233,30,3.62929780956514,-14.1776902103
"145","RAT06","Morphine","2016-07-12",10,7500,"EEG_FL","1",11.2474067126182,28,2.86003535138429,10.77333718965
"146","RAT06","Morphine","2016-07-12",10,7500,"EEG_FR","1",11.5395264833546,28,3.49673264231264,11.67707513225
"147","RAT06","Morphine","2016-07-12",10,7500,"EEG_PL","1",11.1456315635154,28,2.85163092149179,10.8710262768
"148","RAT06","Morphine","2016-07-12",10,7500,"EEG_PR","1",10.1406801567866,29,3.46624237888353,10.5429177561
"149","RAT06","Morphine","2016-07-12",10,7500,"EEG_OL","1",12.4103826241303,29,3.26309719030546,12.98296354
"150","RAT06","Morphine","2016-07-12",10,7500,"EEG_OR","1",-13.464730160006,30,2.62079972668561,-13.319951886
"151","RAT06","Morphine","2016-07-12",10,7800,"EEG_FL","1",8.8960168684756,30,3.61587208791265,9.349167495275
"152","RAT06","Morphine","2016-07-12",10,7800,"EEG_FR","1",10.3472565089383,30,2.99920865653373,10.82314381465
"153","RAT06","Morphine","2016-07-12",10,7800,"EEG_PL","1",8.88699816607667,30,3.53496642655374,9.291594361385
"154","RAT06","Morphine","2016-07-12",10,7800,"EEG_PR","1",8.50142049995833,30,2.35037223446571,8.837698244265
"155","RAT06","Morphine","2016-07-12",10,7800,"EEG_OL","1",10.8371674883917,30,3.05836374810562,10.6079462529
"156","RAT06","Morphine","2016-07-12",10,7800,"EEG_OR","1",-13.91279837605,30,2.4489078806578,-13.49918748945
"157","RAT06","Morphine","2016-07-12",10,8100,"EEG_FL","1",9.26248836021679,28,3.29549297332791,10.1284845356
"158","RAT06","Morphine","2016-07-12",10,8100,"EEG_FR","1",9.7535437356625,28,3.57045270839392,10.1473451521
"159","RAT06","Morphine","2016-07-12",10,8100,"EEG_PL","1",9.17928245131693,28,3.81454682561107,10.09739315479
"160","RAT06","Morphine","2016-07-12",10,8100,"EEG_PR","1",7.4049807742505,30,4.45491491773682,7.348696381545
"161","RAT06","Morphine","2016-07-12",10,8100,"EEG_OL","1",10.3966491794038,29,3.41914105295141,11.0766508945
"162","RAT06","Morphine","2016-07-12",10,8100,"EEG_OR","1",-14.7062101272077,30,3.48950674512864,-13.92549998905
"163","RAT06","Morphine","2016-07-12",10,8400,"EEG_FL","1",9.7354679139968,25,3.06736275999317,9.6087982548
"164","RAT06","Morphine","2016-07-12",10,8400,"EEG_FR","1",10.3546109089332,25,3.27148981306288,10.5087623039
"165","RAT06","Morphine","2016-07-12",10,8400,"EEG_PL","1",9.6828041704276,25,3.19669206644154,10.0913411966
"166","RAT06","Morphine","2016-07-12",10,8400,"EEG_PR","1",8.33901729432413,30,4.17738254466579,8.173728999555
"167","RAT06","Morphine","2016-07-12",10,8400,"EEG_OL","1",11.1113912032207,30,3.96690947837896,11.20811834885
"168","RAT06","Morphine","2016-07-12",10,8400,"EEG_OR","1",-14.0299696619833,30,2.70236732034041,-14.32077895125
"169","RAT06","Morphine","2016-07-12",10,8700,"EEG_FL","1",11.9052698964025,26,5.47645936171621,11.4469220196
"170","RAT06","Morphine","2016-07-12",10,8700,"EEG_FR","1",12.8946824452458,26,4.6483509953095,12.11912680545
"171","RAT06","Morphine","2016-07-12",10,8700,"EEG_PL","1",12.1034346825288,26,5.0697440237112,11.17504414135
"172","RAT06","Morphine","2016-07-12",10,8700,"EEG_PR","1",9.47307835541017,29,4.26965422515222,10.3007831943
"173","RAT06","Morphine","2016-07-12",10,8700,"EEG_OL","1",12.1531470201333,30,3.89068724226188,12.2568552769
"174","RAT06","Morphine","2016-07-12",10,8700,"EEG_OR","1",-14.3535290444913,30,2.93684988400976,-14.53632741155
"175","RAT06","Morphine","2016-07-12",10,9000,"EEG_FL","1",12.3909329495084,25,3.24899617926758,12.2594505918
"176","RAT06","Morphine","2016-07-12",10,9000,"EEG_FR","1",13.9520683566707,28,3.34343653555741,13.51847943575
"177","RAT06","Morphine","2016-07-12",10,9000,"EEG_PL","1",12.357382321182,25,3.29758919126023,11.7669797262
"178","RAT06","Morphine","2016-07-12",10,9000,"EEG_PR","1",10.9227219184723,26,2.89957987503279,10.94943785245
"179","RAT06","Morphine","2016-07-12",10,9000,"EEG_OL","1",11.8634317026696,26,3.19125548744168,12.4250166313
"180","RAT06","Morphine","2016-07-12",10,9000,"EEG_OR","1",-14.5953074592537,30,3.16881775086677,-14.5178981763
"181","RAT06","Morphine","2016-07-12",10,9300,"EEG_FL","1",11.090581340035,20,3.75211435125409,11.1082863264
"182","RAT06","Morphine","2016-07-12",10,9300,"EEG_FR","1",12.5939638688003,29,3.6240196078946,14.2042045458
"183","RAT06","Morphine","2016-07-12",10,9300,"EEG_PL","1",10.9477618512563,19,3.78106809064299,11.1392476199
"184","RAT06","Morphine","2016-07-12",10,9300,"EEG_PR","1",10.3582165810505,19,2.81770520216722,10.3125135581
"185","RAT06","Morphine","2016-07-12",10,9300,"EEG_OL","1",12.0917871880063,19,3.251870681534,12.3664442705
"186","RAT06","Morphine","2016-07-12",10,9300,"EEG_OR","1",-13.2956705035933,30,2.81209028677196,-13.28365318215
"187","RAT06","Morphine","2016-07-12",10,9600,"EEG_FL","1",9.57323377681986,22,3.67421069546052,9.48759844384
"188","RAT06","Morphine","2016-07-12",10,9600,"EEG_FR","1",11.797667006241,30,3.44470076010397,12.1219838006
"189","RAT06","Morphine","2016-07-12",10,9600,"EEG_PL","1",9.62272863501991,22,3.79779439821951,9.69162596677
"190","RAT06","Morphine","2016-07-12",10,9600,"EEG_PR","1",9.06890386773,25,2.68565315072165,8.95765772331
"191","RAT06","Morphine","2016-07-12",10,9600,"EEG_OL","1",10.6007298350065,26,2.6467018340957,10.97520440335
"192","RAT06","Morphine","2016-07-12",10,9600,"EEG_OR","1",-14.3639614554373,30,3.05244221531309,-14.32500216285
"193","RAT06","Morphine","2016-07-12",10,9900,"EEG_FL","1",10.2931362212382,17,4.69902124938444,11.7277079188
"194","RAT06","Morphine","2016-07-12",10,9900,"EEG_FR","1",11.0869085249875,28,3.57773777233708,11.60824510115
"195","RAT06","Morphine","2016-07-12",10,9900,"EEG_PL","1",9.90498971933225,16,4.29467574191203,11.1618159377
"196","RAT06","Morphine","2016-07-12",10,9900,"EEG_PR","1",8.8343137269105,20,2.44904508383599,8.810760336225
"197","RAT06","Morphine","2016-07-12",10,9900,"EEG_OL","1",11.4349589862945,22,2.80329940650426,11.22267927605
"198","RAT06","Morphine","2016-07-12",10,9900,"EEG_OR","1",-14.7589685529133,30,2.74587105574487,-14.42361673845
"199","RAT06","Morphine","2016-07-12",10,10200,"EEG_FL","1",12.3194795094991,22,4.42674504555559,11.6302782354
